username,level_ix,credits
SHERRYCHAN,1,53
rico,1,724
takeie,1,92
cccshop,1,289
ANADA,1,166
heather,1,964
gxgcyf,1,321
wghj,1,712
penghai,1,599
nn,1,857
wanglei,1,488
ttwolf,1,868
nidyliu,1,876
polo9988,1,249
sunning0000,1,921
lapaga,1,857
yvonne,1,41
WCH139888,1,637
May,1,63
dlj,1,403
liuti7801,1,828
hslx,1,931
popdavid,1,170
yierdy,1,57
sungirl1974,1,776
nn11,1,710
hjlove,1,221
wendy66,1,973
limin,1,205
tsc_00521,1,106
qingyan,1,916
qjfy520,1,562
llq20777548,1,429
shirleysue,1,75
rebsnake,1,91
xiaolark,1,228
1978,1,865
allang365,1,644
gaojie128,1,624
amanda,1,188
SZE,1,68
wuice,1,777
yanglili_66,1,679
Dior,1,66
nzg623,1,292
snoopy74622,1,261
chenweier,1,430
xususan,1,365
beyond,1,536
justinlam,1,585
peng_lan,1,317
tiange,1,830
QN1020,1,199
antiahsu,1,506
xuanxuan,1,934
ANGELAROCK,1,153
enjoypopcan,1,960
stillness,1,343
artk,1,833
meridian,1,139
candylee,1,193
adderly,1,551
moneywong,1,176
kafei,1,225
nn123456,1,596
sunnydec,1,308
johnson5577,1,750
019buy,1,828
ANNE,1,891
si_yatou619,1,968
yeye217,1,166
whuut,1,928
suskimi,1,142
suskimimi,1,924
maggie,1,195
l_ing008,1,205
jianjian,1,438
sonic7,1,575
chenli,1,561
kissmickey,1,82
Belle,1,726
lee31,1,744
GUOGUO,1,566
happy28,2,597
mdj,1,290
ylchenyu,1,656
ZXM1976,1,412
wujrong,1,91
jeody,1,221
zzguo,1,831
yangyaofeng,1,490
yql1,3,959
9818,1,745
hjsmwz,1,753
erinyao,1,530
evelin,1,390
ddguan,1,359
hinetangel,1,627
lily,1,56
huangjian1009,1,399
tommy,1,827
dinglei1101,1,936
nancy,1,202
purecoffee,1,405
zhangjiajing,1,417
vclever,1,98
dingdong,1,881
ckk,1,109
wp961218,1,905
mien,1,198
xgz1007,1,273
amyla520,1,771
xiaodian,1,36
xiaoliang,1,866
anio,1,510
xin257,1,885
huijh,1,896
hongfurong,1,824
lantai2002,1,434
leslie_yy,1,698
w641230,1,186
cz810,1,836
sunnyday,1,623
zhenzhenfa,1,608
silywhzlmm,1,169
pp3850,1,22
lrr20,1,602
thlpb,1,946
dlss2002,1,922
fruitkitty,1,104
qlm56,1,198
CCKZ,1,679
lewio,1,799
cclay,1,960
xjq121,1,403
gaoduoudo,1,135
palmboutique,1,467
lcj_27437986,1,930
diana1977,1,456
huchenyiyi,1,531
dxw2001,1,290
kristy911,1,854
lily957,1,403
linda,1,450
h878583,1,44
gaoduoduo,1,867
oyqh,1,205
sellinna,1,425
tshshl,1,262
jin0283,1,788
maizi,1,410
LTBB,1,587
laurence,1,703
selina114,1,755
fx4112000,1,667
seraph,1,69
san0077,1,342
pudding,1,504
nnzjh,1,496
xiaoyu1979,1,967
loveblood,1,347
wanmeilianhua,1,836
windy923,1,136
yoyo,1,173
yy266,1,457
cancan,1,767
rong2004,1,462
secvanilla,1,12
800409,1,671
billlee,1,320
alexwang,1,587
wuji,1,974
cheny,1,112
LILI226,1,635
helenlshen,1,840
baobeiheli,1,294
koko_0901,1,950
blue_sasa,1,489
zy0818,1,842
zhouping790421,1,745
besthua,1,136
game168,1,819
xiaoshu8211,1,759
wangdanhong,1,340
kitty,1,420
sherry,3,81
yonneyu,1,146
paiyfly,1,1
STELLAMI,1,708
janehu,1,912
1231100121,1,437
chemeng,1,449
yili920,1,933
dongyingxi,1,318
asam0425asam0425,1,792
nannanljin,1,6
CHYLTX,1,653
yangmin780825,1,249
uiystyle,1,284
flcarlos,1,672
mjj1122,1,511
jesscia520,1,157
hozang,1,377
neneg,1,376
liubo11,1,626
pacrioc,1,516
Rookie,1,944
dinah,1,169
powerxb2003,1,15
jessie8103,1,566
zsl0520,1,786
confirm,1,233
whitesnow,1,807
hexiana,1,337
ww8188,1,262
tira,3,301
shanlin,1,717
mmcj,1,683
srxg,1,265
youshan,1,276
sunrana,1,583
daihairong,2,90
vickey,1,230
aprilskyzyl,1,51
hailife,1,563
lucy,1,662
tolyly,1,623
98pin,1,126
bruce,1,762
mengzuyun,1,434
zzj771019,1,882
michelleshu,1,108
wohaipa,1,895
vavaen,1,68
takifu2003,1,888
tx2002613,1,235
chenchao,1,510
hihi9988,1,700
ganping,1,963
lianjing_xie,1,714
tao8d789898,1,682
laplume,1,269
sun0517,1,299
aner,1,685
iamyoufriend,1,531
rose3888,1,598
topren,1,398
angela,1,198
vickyho611,1,792
yesh,1,369
annelau,1,470
bj151106,1,240
angela8517,1,789
whiteorchid,1,229
xyx56,1,775
luyuan,1,188
BCBG18,1,516
babudou2,1,730
belindawu5,1,104
mbhyd,1,331
lu,1,341
yindanpost,1,714
sbadj8288,1,547
yqfyqyhb,1,592
boboan,1,321
mikicn,1,826
agogohe,1,170
faye17,1,371
yaya,1,343
joanchen,1,605
belinda1110,1,995
zq66666,1,160
mabel,1,814
rourousmart,1,591
marklei1973,1,512
coco,1,786
wrs0430,1,609
xiaopiang,1,865
lilijiang2377,1,499
loushaoyuan,1,897
lylh_001,1,992
shuicunyang,1,267
chjdd6899,1,358
froinay,1,369
wqsayly,1,245
yeangelca,1,865
chenminfang1234,1,966
wildcat6315,1,232
dreammay,1,264
serene_lau,1,624
paggoh,1,770
Jasson,1,864
wangzhiyang,1,12
zxzy,1,465
520lcgyl,1,290
deanchou1,1,54
nbgirls,1,399
steprecite,1,834
king,1,973
inluck,1,363
ss131451,1,898
toleey,1,398
sthking,1,296
zheng,1,286
cc-lan,1,545
samllcy,1,864
kskkboy,1,684
shixiaoyi_1981,1,829
kuku_1981_0,1,93
swallowzhswallow,1,976
wchristine,1,603
kkxx,1,85
ljhth,1,617
sandyzsj,1,830
forla,1,300
ANN,1,11
uccua,1,743
jefferyxia,1,10
xuqizhi,1,309
linzi,1,514
sam95577,1,641
prettyxm,1,665
shuilingling1981,1,403
new_woman,1,887
hjg19760408,1,376
alanme,1,967
carol,1,179
s-3238,1,995
l-yy23,1,435
mymail828,1,192
hellolandy,1,655
fanny,1,700
annuo58002,1,533
123hero,1,226
ivanna,1,437
martha106,1,219
alin2811,1,578
phoeonix945,1,231
sanyding,1,423
ly323,1,422
sasa,1,840
qycying,1,936
wenying5678,1,158
minchen,1,984
kingdom1888,1,273
iamliver,1,30
yl125,1,329
susan,1,799
arianeyan,1,324
radwz,1,223
pcfz,1,143
chenmuyuan,1,47
mfkfv813,1,805
evonne_w,1,883
liaoliao,1,1
aizai-2004,1,356
cherl,1,816
ayiko,1,750
mayflowerie,1,300
ROYLAU,1,253
mimiG,1,363
young32,1,56
alex0620,1,190
A3374945,1,784
yellowbabe,1,350
maluyang,1,396
koko-ahha_NEW,1,929
lucy_lu,1,460
mzqr111,1,364
nonosangel,1,280
qazxqazx,1,309
evans818,1,704
teany,1,593
amy,1,851
yfive77,1,478
gracechow,1,837
vipa,1,242
gwerr222,1,957
z22y16,1,61
xyuany,1,431
thecher,1,975
freefly,1,580
lollopop,1,978
xxzxydd,1,802
joheson,1,571
zsy,1,448
candy_,1,526
candy_0516,1,285
lxclf,1,848
lili7179,1,384
uygnahz770,1,376
chrissie,1,730
tommy1978,1,522
wwboss,1,419
hzroya,1,529
cncsy,1,389
microsmile,1,359
htby,1,626
m_bird,1,52
belove7,1,383
butterfly,1,758
surat,1,641
fxpo,1,930
lhjhonor,1,728
alu,1,850
zhaoyinglan,1,66
cherry_sun,1,782
buttermilk,1,710
GONGZY,1,204
anna,1,889
yuyuyu1211,1,836
chqian,1,47
liukaiugo,1,704
csq166,1,376
ln6396,1,769
amo119,1,718
myxsky,1,282
hechunyu,1,257
wenwen,1,437
zhuzhu601120,1,416
susanbbi,1,770
helenkingxu,1,603
jenniferjj,1,704
lolo429,1,411
andyyty,1,945
pingping1116,1,490
aduo135,1,615
springshen,1,604
aylily,1,175
sunnyfuchunyan,1,63
along,1,792
dodopig,1,768
skmphotos,1,465
rachel_lailei,1,23
bettytingting,1,720
babyblue,1,528
michelle,1,827
chenqingqun,1,690
rikkycy,1,768
edan2004,1,936
yvonnery,1,378
cntlz,1,79
lauyuey,1,264
Dreaming_you,1,84
heneyluo,1,626
laozhang,1,879
liweizmd,1,518
yumel,1,954
weibaweibaweiba,1,215
lindaq,1,214
KAZOO,1,422
liyur3000,1,471
wyy960,1,89
wjf,1,30
libra_ng,1,882
sunny,1,321
luluchen,1,958
gwhq,1,827
baobei,1,263
vilovevi,1,832
celialiu1307,1,371
zx66,1,358
xixi0065,1,676
simple,1,508
treelili,1,617
joey9831,1,563
liping,1,120
judyjoe,1,717
li_zi,1,224
PENGGUI,1,970
LFLOVE320,1,176
vickymama,1,970
cocoliu,1,323
zouzoua,1,704
liangtong,1,550
idth,1,637
windows,2,537
cmn1970,1,256
fegezhang,1,959
hhlinda,1,29
longminmei,1,268
yishizhuxing,1,250
xiaoli,1,449
caochengang,1,495
xirong,1,129
pacinko,1,158
sdwfqz,1,403
jianglulu,1,844
MTOO,1,742
teddyjj,1,663
gprswei,1,782
ceasarxz,1,251
wu,1,497
patrick_xy,1,731
lenne,1,638
ferry_tao,1,315
nini327,1,658
nadia_l,1,346
jessyhao,1,754
Funkystuff,1,410
yvone,1,847
good,1,6
yocyoko,1,490
mxd1017,1,430
xiuluoren,1,680
alan_88liu,1,108
hsl123,1,503
yunw1982,1,190
gcl7742,1,630
qmqmqmqmpzpzpz,1,831
yangguangyu123,1,265
panerpang,1,830
laura6901,1,355
yuano,1,285
anita,1,361
enchantress,1,952
ming0317,1,675
jieting_zttqjj15,1,518
makiyo,1,568
baodian119,1,718
fish,1,735
luyachun123,1,414
liugm,1,497
emily_rain,1,243
phb237,1,724
xilibn,1,890
shenyuzhong,1,278
yydw24,1,719
zjzjyong_2001,1,761
pkphc,1,650
maggiettt,1,966
elva,1,508
yiyingwei18,1,898
jplaye,1,964
jassy818,1,127
asdfgh110,1,742
still2004,1,328
xiao_xin,1,88
casper80322,1,196
hanyubing,1,719
hsl,1,5
aomenyang,1,868
woaihongyan,1,324
blh821,1,15
ligangluxin,1,105
kiki_yingying,1,480
chandler,1,86
coco186,1,991
hhbwm,1,696
xyryl,1,509
passat69999,1,454
mm0401,1,353
sky136437,1,537
rjyong,1,624
beyondall1,1,670
BB_1998,1,826
michelle_fish,1,119
ksywns,1,116
joygrace,1,222
yuhui418,1,766
minmin,1,160
enya,1,504
junjian0001,1,42
wangzi,1,695
fangyan527,1,349
cym_mm,1,662
yutian,1,868
wanglu,1,115
gltying,1,545
cindysega,1,377
cs68801,1,253
keikei,1,134
y209228,1,912
cjx815,1,156
RONG,1,43
liushang,1,747
nbangelwang,1,605
fan76417,1,784
money621,1,106
kettu,1,569
wukwuk,1,852
damonding,1,327
zouguozheng,1,76
frances,1,402
huangxingyan,1,779
sally790405,1,692
Lily999,1,528
heguangxuan,1,279
ALONESAIL,1,810
qiqishghm,1,211
bmh_kd,1,628
maggie_cai,1,639
hyy1977,1,485
zhenzhen,1,382
yfashion,1,459
xuemei0309,1,146
vivian320,1,354
lijun196161,1,331
tinachu77,1,595
beatrice-huang,1,983
daijing_gz,1,129
wangchen,1,695
zf_tian,1,88
robinhood,1,353
lld_1234,1,504
Clauida,1,460
inch,1,787
meizi3335,1,557
wang5852,1,423
netskin,1,446
yerkes,1,958
fishlin,1,453
itslily,1,391
zghy1999,1,595
jessy,1,804
yh16888,1,234
wangli520,1,758
yanzhuang123,1,90
sam21sam21tw,1,597
lcl_hzl,1,467
clbaobei88,1,543
g_q_y,1,314
tom9731,1,942
wan_yf,1,767
ssto83,1,10
